City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,eyl,7.9803,49.8164,79.97,60,100,24.96,SO,1659244969
164,chapais,49.7834,-74.8492,62.38,85,99,5.61,CA,1659244498
165,lagoa,39.05,-27.9833,72.03,72,0,4.45,PT,1659244969
166,lakes entrance,-37.8811,147.981,58.01,54,100,11.99,AU,1659244852
167,margate,51.3813,1.3862,65.89,87,77,3.0,GB,1659244970
168,mabaruma,8.2,-59.7833,73.42,96,71,1.92,GY,1659244970
169,airai,-8.9266,125.4092,75.06,49,36,4.14,TL,1659244531
170,port alfred,-33.5906,26.891,54.12,71,12,20.47,ZA,1659244480
171,nuevo ideal,24.8875,-105.0728,62.11,82,100,4.85,MX,1659244971
172,tessalit,20.1986,1.0114,84.65,46,67,7.52,ML,1659244971
173,bonnyville,54.2668,-110.735,64.2,86,100,4.74,CA,1659244972
174,colonia leopoldina,-8.9089,-35.725,71.33,96,99,2.13,BR,1659244972
175,thompson,55.7435,-97.8558,46.56,81,20,2.3,CA,1659244489
176,eureka,40.8021,-124.1637,61.2,88,78,1.23,US,1659244599
177,mount gambier,-37.8333,140.7667,55.31,76,75,17.27,AU,1659244466
178,shush,32.1942,48.2436,97.92,43,2,1.81,IR,1659244832
179,tuatapere,-46.1333,167.6833,44.62,86,77,8.46,NZ,1659244500
180,samarai,-10.6167,150.6667,80.89,79,9,11.18,PG,1659244974
181,petropavlovsk-kamchatskiy,53.0452,158.6483,59.59,82,75,11.18,RU,1659244975
182,poum,-20.2333,164.0167,72.43,73,60,19.89,NC,1659244604
183,upernavik,72.7868,-56.1549,45.72,77,100,5.06,GL,1659244493
184,matara,5.9485,80.5353,84.22,70,89,11.79,LK,1659244930
185,seymchan,62.8833,152.4333,73.06,33,7,12.48,RU,1659244975
186,athabasca,54.7169,-113.2854,52.21,92,46,6.67,CA,1659244976
187,debre birhan,9.6833,39.5333,52.3,89,81,2.66,ET,1659244976
188,krasnoselkup,65.7,82.4667,57.9,53,3,22.86,RU,1659244677
